env_id,generation,mean,std
Pendulum-v1,84,-289.0340104676806,257.42593228319015
Pendulum-v1,85,-287.8557230710855,258.0485059188612
Pendulum-v1,86,-287.8557230710855,258.0485059188612
Pendulum-v1,87,-273.5984786831369,226.20599339289961
Pendulum-v1,88,-272.9333406941756,226.65274180919113
Pendulum-v1,89,-272.79814572860084,226.744632774164
Pendulum-v1,90,-213.26045642905063,94.1758644957674
Pendulum-v1,91,-208.3398474888716,97.16839390107978
Pendulum-v1,92,-208.33984748993575,97.16839390030782
Pendulum-v1,93,-208.33984748993575,97.16839390030782
Pendulum-v1,94,-201.39908894207318,100.44126889258722
Pendulum-v1,95,-201.10917850811137,100.633563327366
Pendulum-v1,96,-201.10917850812365,100.6335633273578
Pendulum-v1,97,-201.10917850812365,100.6335633273578
Pendulum-v1,98,-201.10917850812365,100.6335633273578
Pendulum-v1,99,-201.10917850812365,100.6335633273578
Pendulum-v1,100,-200.84619032753113,100.81128918492367
Pendulum-v1,101,-200.84619032734298,100.81128918505195
Pendulum-v1,102,-200.05229166769556,101.30701565659062
Pendulum-v1,103,-200.05229166769556,101.30701565659062
Pendulum-v1,104,-200.05229166769556,101.30701565659062
Pendulum-v1,105,-199.93325837851904,101.38691810145448
Pendulum-v1,106,-199.93325837868272,101.38691810134418
Pendulum-v1,107,-199.93325837868272,101.38691810134418
Pendulum-v1,108,-196.92312404654118,94.70713311513032
Pendulum-v1,109,-196.92312404654118,94.70713311513032
Pendulum-v1,110,-196.29154057685318,95.12471764884313
Pendulum-v1,111,-196.29154057685318,95.12471764884313
Pendulum-v1,112,-196.29154057685318,95.12471764884313
Pendulum-v1,113,-196.29154057685318,95.12471764884313
Pendulum-v1,114,-196.29154057685318,95.12471764884313
Pendulum-v1,115,-184.70353659087417,81.384135872349
Pendulum-v1,116,-165.56513227215981,40.750884443920526
Pendulum-v1,117,-165.56513227215981,40.750884443920526
Pendulum-v1,118,-165.56513227215981,40.750884443920526
Pendulum-v1,119,-165.23672808571501,40.90490352635483
Pendulum-v1,120,-159.24556582544534,29.453557727463167
Pendulum-v1,121,-159.24556582377664,29.453557724502254
Pendulum-v1,122,-159.24556582377664,29.453557724502254
Pendulum-v1,123,-159.24556582377664,29.453557724502254
Pendulum-v1,124,-154.3125585389828,21.761434940710913
Pendulum-v1,125,-154.3125585389828,21.761434940710913
Pendulum-v1,126,-153.5100215092365,20.839381808990463
Pendulum-v1,127,-152.75030796351794,20.0549131146544
Pendulum-v1,128,-152.75030796351794,20.0549131146544
Pendulum-v1,129,-148.62747427604728,16.595034326694424
Pendulum-v1,130,-147.4214538018743,16.444926347606675
Pendulum-v1,131,-147.4214538018743,16.444926347606675
Pendulum-v1,132,-147.30002880810986,16.46700138389893
Pendulum-v1,133,-145.82159938369873,16.636707182994954
Pendulum-v1,134,-145.8215993835459,16.636707183043402
Pendulum-v1,135,-145.8215993835459,16.636707183043402
Pendulum-v1,136,-145.8215993835459,16.636707183043402
Pendulum-v1,137,-145.5701677866681,16.676326099813902
Pendulum-v1,138,-145.5701677866681,16.676326099813902
Pendulum-v1,139,-145.5701677866681,16.676326099813902
Pendulum-v1,140,-145.5701677866681,16.676326099813902
Pendulum-v1,141,-145.5701677866681,16.676326099813902
Pendulum-v1,142,-145.5701677866681,16.676326099813902
Pendulum-v1,143,-145.5701677866681,16.676326099813902
Pendulum-v1,144,-145.53993290494722,16.68545375898432
Pendulum-v1,145,-145.53993290494722,16.68545375898432
Pendulum-v1,146,-145.53993290494722,16.68545375898432
Pendulum-v1,147,-145.35799414189574,16.675220770447908
Pendulum-v1,148,-145.35799414136756,16.675220770432595
Pendulum-v1,149,-145.35799414136756,16.675220770432595
