env_id,generation,mean,std
LunarLander-v3,179,211.97663089147417,
LunarLander-v3,180,211.97663089147417,
LunarLander-v3,181,211.97663089147417,
LunarLander-v3,182,211.97663089147417,
LunarLander-v3,183,211.97663089147417,
LunarLander-v3,184,211.97663089147417,
LunarLander-v3,185,211.97663089147417,
LunarLander-v3,186,211.97663089147417,
LunarLander-v3,187,211.97663089147417,
LunarLander-v3,188,211.97663089147417,
LunarLander-v3,189,211.97663089147417,
LunarLander-v3,190,211.97663089147417,
LunarLander-v3,191,211.97663089147417,
LunarLander-v3,192,211.97663089147417,
LunarLander-v3,193,211.97663089147417,
LunarLander-v3,194,211.97663089147417,
LunarLander-v3,195,212.1109338997653,
LunarLander-v3,196,212.1109338997653,
LunarLander-v3,197,212.1109338997653,
LunarLander-v3,198,212.1109338997653,
LunarLander-v3,199,212.1109338997653,
LunarLander-v3,200,212.1109338997653,
LunarLander-v3,201,212.1109338997653,
LunarLander-v3,202,212.1109338997653,
LunarLander-v3,203,212.1109338997653,
LunarLander-v3,204,212.1109338997653,
LunarLander-v3,205,212.1109338997653,
LunarLander-v3,206,212.1109338997653,
LunarLander-v3,207,212.1109338997653,
LunarLander-v3,208,212.1109338997653,
LunarLander-v3,209,212.1109338997653,
LunarLander-v3,210,212.1109338997653,
LunarLander-v3,211,212.1109338997653,
LunarLander-v3,212,212.1109338997653,
LunarLander-v3,213,212.1109338997653,
LunarLander-v3,214,212.1109338997653,
LunarLander-v3,215,212.2737549418501,
LunarLander-v3,216,212.2737549418501,
LunarLander-v3,217,212.2737549418501,
LunarLander-v3,218,212.2737549418501,
LunarLander-v3,219,212.2737549418501,
LunarLander-v3,220,212.2737549418501,
LunarLander-v3,221,212.2737549418501,
LunarLander-v3,222,212.2737549418501,
LunarLander-v3,223,212.2737549418501,
LunarLander-v3,224,212.2737549418501,
LunarLander-v3,225,212.2737549418501,
LunarLander-v3,226,212.2737549418501,
LunarLander-v3,227,212.2737549418501,
LunarLander-v3,228,212.2737549418501,
